time,clone_id,parent_id,mutation_size,vaf,S,R1,R2,R3
0,0,-1,1,0.5,0.15389895,0.2499023,0.26698506,0.3292137
1,0,-1,1,0.5,0.15389895,0.2499023,0.26698506,0.3292137
2,0,-1,1,0.5,0.15484694,0.2497167,0.26665303,0.32878333
3,0,-1,1,0.5,0.15580325,0.24952796,0.26631835,0.32835042
4,0,-1,1,0.5,0.15676801,0.24933608,0.26598096,0.32791498
5,0,-1,1,0.5,0.15774132,0.24914095,0.2656408,0.32747692
6,0,-1,1,0.5,0.15872334,0.24894255,0.26529786,0.32703626
7,0,-1,1,0.5,0.15971412,0.24874088,0.2649521,0.3265929
8,0,-1,2,0.5,0.129359,0.12812635,0.32719398,0.41532063
8,1,0,1,0.25,0.0980042,0.007716839,0.38978454,0.5044944
9,0,-1,2,0.5,0.13136147,0.12823953,0.32641476,0.41398424
9,1,0,1,0.25,0.10100038,0.008151604,0.38857758,0.5022704
10,0,-1,2,0.5,0.13341646,0.12836412,0.32560638,0.4126131
10,1,0,1,0.25,0.10409244,0.008612596,0.38731527,0.49997973
11,0,-1,2,0.5,0.13552475,0.12850071,0.32476816,0.41120633
11,1,0,1,0.25,0.10728186,0.009101151,0.3859963,0.49762064
12,0,-1,3,0.5,0.16209573,0.16675778,0.33646068,0.3346858
12,1,0,2,0.3333333333333333,0.16074148,0.12629592,0.3731012,0.33986133
13,0,-1,3,0.5,0.18168883,0.17052679,0.32600543,0.32177895
13,1,0,2,0.3333333333333333,0.18960808,0.13206065,0.35760015,0.32073113
14,0,-1,3,0.5,0.1985513,0.17238611,0.31552246,0.3135402
14,1,0,2,0.3333333333333333,0.21437386,0.13496265,0.342059,0.30860454
15,0,-1,3,0.5,0.20695545,0.17215192,0.31105366,0.30983898
15,1,0,2,0.3333333333333333,0.22644731,0.1347262,0.33554068,0.30328584
16,0,-1,3,0.5,0.21473795,0.171628,0.306947,0.30668703
16,1,0,2,0.3333333333333333,0.23758328,0.13405699,0.3295672,0.2987925
17,0,-1,3,0.5,0.2232064,0.17105557,0.3016816,0.3040564
17,1,0,2,0.3333333333333333,0.24974313,0.13331695,0.3218572,0.2950827
18,0,-1,3,0.5,0.23126334,0.1698709,0.29740962,0.30145612
18,1,0,2,0.3333333333333333,0.26128063,0.1316604,0.31563896,0.29142
19,0,-1,3,0.5,0.23869872,0.16856481,0.29382977,0.2989067
19,1,0,2,0.3333333333333333,0.2718806,0.1298237,0.31046057,0.28783515
20,0,-1,3,0.5,0.24590857,0.16678046,0.2915653,0.29574567
20,1,0,2,0.3333333333333333,0.28213698,0.12727153,0.30725697,0.28333452
21,0,-1,3,0.5,0.2528198,0.16527332,0.28867963,0.29322731
21,1,0,2,0.3333333333333333,0.2919401,0.12513718,0.30312324,0.27979955
22,0,-1,3,0.5,0.2619181,0.162821,0.28566048,0.28960037
22,1,0,2,0.3333333333333333,0.30501845,0.12158707,0.29879105,0.27460337
23,0,-1,4,0.5,0.20948878,0.16703822,0.40789142,0.21558154
