time,clone_id,parent_id,mutation_size,vaf,S,R1,R2,R3,T1,T2,T3
0,0,-1,1,0.5,0.21703146,0.30588898,0.23868097,0.23839857,0.0,0.0,0.0
1,0,-1,1,0.5,0.21857783,0.3050539,0.23840022,0.23796809,0.0,0.0,0.0
2,0,-1,1,0.5,0.22014406,0.3042107,0.23811479,0.2375305,0.0,0.0,0.0
3,0,-1,1,0.5,0.22173053,0.30335924,0.23782454,0.23708567,0.0,0.0,0.0
4,0,-1,1,0.5,0.22333765,0.3024994,0.23752934,0.2366335,0.0,0.0,0.0
5,0,-1,1,0.5,0.22496583,0.30163112,0.23722917,0.23617391,0.0,0.0,0.0
6,0,-1,2,0.5,0.13676694,0.27421856,0.28244272,0.30657178,0.0,0.0,0.0
6,1,0,1,0.25,0.046918448,0.247683,0.32796162,0.37743688,0.0,0.0,0.0
7,0,-1,2,0.5,0.13915351,0.2741806,0.28190652,0.30475938,0.0,0.0,0.0
7,1,0,1,0.25,0.0500201,0.24849294,0.32719988,0.3742871,0.0,0.0,0.0
8,0,-1,2,0.5,0.14172572,0.27412483,0.28131393,0.30283552,0.0,0.0,0.0
8,1,0,1,0.25,0.05347072,0.24927625,0.32633075,0.37092227,0.0,0.0,0.0
9,0,-1,2,0.5,0.14451128,0.27404574,0.2806558,0.30078718,0.0,0.0,0.0
9,1,0,1,0.25,0.057325333,0.25002205,0.32533607,0.3673165,0.0,0.0,0.0
10,0,-1,2,0.5,0.14754343,0.27393633,0.2799212,0.29859912,0.0,0.0,0.0
10,1,0,1,0.25,0.06164992,0.25071654,0.32419407,0.3634395,0.0,0.0,0.0
11,0,-1,2,0.5,0.20782167,0.24931693,0.23948723,0.3033742,1.0,0.0,0.0
11,1,0,1,0.25,0.1793842,0.20201506,0.2432462,0.3753545,1.0,0.0,0.0
12,0,-1,2,0.5,0.22467032,0.25903282,0.2354657,0.28083116,1.0,0.0,0.0
12,1,0,1,0.25,0.21233042,0.21935382,0.23645194,0.33186382,1.0,0.0,0.0
13,0,-1,2,0.5,0.24365523,0.2676253,0.22985034,0.2588691,1.0,0.0,0.0
13,1,0,1,0.25,0.24955618,0.23443975,0.22647062,0.2895334,1.0,0.0,0.0
14,0,-1,2,0.5,0.2647308,0.27465647,0.22275138,0.2378614,1.0,0.0,0.0
14,1,0,1,0.25,0.29097053,0.24639702,0.21352273,0.24910979,1.0,0.0,0.0
15,0,-1,2,0.5,0.2877193,0.27976328,0.21436939,0.21814805,1.0,0.0,0.0
15,1,0,1,0.25,0.33621797,0.25449964,0.19800936,0.21127307,1.0,0.0,0.0
16,0,-1,2,0.5,0.29815704,0.2839052,0.20836343,0.20957428,1.0,0.0,0.0
16,1,0,1,0.25,0.35637122,0.26066643,0.18724869,0.19571361,1.0,0.0,0.0
17,0,-1,2,0.5,0.30533552,0.2881338,0.20304197,0.20348871,1.0,0.0,0.0
17,1,0,1,0.25,0.37001342,0.26700044,0.17785758,0.18512851,1.0,0.0,0.0
18,0,-1,2,0.5,0.31283563,0.2921805,0.19764481,0.19733906,1.0,0.0,0.0
18,1,0,1,0.25,0.3843064,0.27296475,0.16831557,0.17441328,1.0,0.0,0.0
19,0,-1,2,0.5,0.32065803,0.2960286,0.19217567,0.19113772,1.0,0.0,0.0
19,1,0,1,0.25,0.39925155,0.27852577,0.15863016,0.16359256,1.0,0.0,0.0
20,0,-1,3,0.5,0.3503509,0.27934566,0.16037503,0.20992847,1.0,0.0,0.0
20,1,0,1,0.16666666666666666,0.41481173,0.28364113,0.14883207,0.15271516,1.0,0.0,0.0
20,2,0,1,0.16666666666666666,0.39348444,0.23872311,0.10782519,0.2599672,1.0,0.0,0.0
21,0,-1,4,0.5,0.45103827,0.21334708,0.16888152,0.16673313,1.0,0.0,0.0
21,1,0,2,0.25,0.5735317,0.14964736,0.17471978,0.10210121,1.0,0.0,0.0
21,2,0,1,0.125,0.4136491,0.23627357,0.10287255,0.24720472,1.0,0.0,0.0
21,3,1,1,0.125,0.71615744,0.01103051,0.21046327,0.062348764,1.0,0.0,0.0
22,0,-1,4,0.5,0.508656,0.21225537,0.12635638,0.15273228,1.0,0.0,0.0
22,1,0,2,0.25,0.6786771,0.14759117,0.09291219,0.08081957,1.0,0.0,0.0
22,2,0,1,0.125,0.43315285,0.23386571,0.09764152,0.23533994,1.0,0.0,0.0
22,3,1,1,0.125,0.9099467,0.0028323662,0.056683507,0.03053747,1.0,0.0,0.0
23,0,-1,5,0.5,0.4763309,0.2085023,0.19587737,0.11928947,1.0,0.0,0.0
23,1,0,2,0.2,0.7041843,0.14873765,0.07570455,0.07137356,1.0,0.0,0.0
23,2,0,2,0.2,0.3642503,0.21145163,0.30363643,0.12066163,1.0,0.0,0.0
23,3,1,1,0.1,0.94422233,0.0016126701,0.031986464,0.022178557,1.0,0.0,0.0
23,4,2,1,0.1,0.27602556,0.191868,0.5151967,0.016909754,1.0,0.0,0.0
24,0,-1,5,0.5,0.50098455,0.22961895,0.15386467,0.11553182,1.0,0.0,0.0
24,1,0,2,0.2,0.72652817,0.1497976,0.061831575,0.061842635,1.0,0.0,0.0
24,2,0,2,0.2,0.4032104,0.26210058,0.21310525,0.12158379,1.0,0.0,0.0
24,3,1,1,0.1,0.97249573,0.0006999985,0.013624477,0.0131798,1.0,0.0,0.0
24,4,2,1,0.1,0.33523315,0.29598662,0.33819386,0.030586358,1.0,0.0,0.0
25,0,-1,6,0.5,0.59734094,0.19917917,0.11138705,0.09209276,1.0,0.0,0.0
25,1,0,3,0.25,0.82536143,0.10062387,0.036667712,0.037346985,1.0,0.0,0.0
25,2,0,2,0.16666666666666666,0.43093187,0.28336674,0.17006257,0.11563883,1.0,0.0,0.0
25,3,1,2,0.16666666666666666,0.9897548,0.00022857082,0.00447523,0.00554133,1.0,0.0,0.0
25,4,2,1,0.08333333333333333,0.37161353,0.34178802,0.256384,0.030214427,1.0,0.0,0.0
25,5,3,1,0.08333333333333333,0.9989273,7.563603e-09,4.6945166e-07,0.0010722149,1.0,0.0,0.0
26,0,-1,7,0.5,0.66263217,0.17789765,0.082850985,0.07661917,1.0,0.0,0.0
26,1,0,4,0.2857142857142857,0.8739381,0.07594927,0.02480346,0.0253092,1.0,0.0,0.0
26,2,0,2,0.14285714285714285,0.44796568,0.30641925,0.13190249,0.11371263,1.0,0.0,0.0
26,3,1,3,0.21428571428571427,0.9945933,0.00011231212,0.0022192623,0.0030752101,1.0,0.0,0.0
26,4,2,1,0.07142857142857142,0.3853114,0.3922763,0.18571785,0.03669445,1.0,0.0,0.0
26,5,3,1,0.07142857142857142,0.9989717,7.2569297e-09,4.5165658e-07,0.0010278961,1.0,0.0,0.0
26,6,3,1,0.07142857142857142,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
27,0,-1,7,0.5,0.6684437,0.1833959,0.07430457,0.07385577,1.0,0.0,0.0
27,1,0,4,0.2857142857142857,0.8783204,0.07631869,0.022457127,0.022903748,1.0,0.0,0.0
27,2,0,2,0.14285714285714285,0.45922345,0.32383242,0.107310876,0.10963325,1.0,0.0,0.0
27,3,1,3,0.21428571428571427,0.9954912,8.8256755e-05,0.0017612203,0.002659291,1.0,0.0,0.0
27,4,2,1,0.07142857142857142,0.38728878,0.43146938,0.14088126,0.040360607,1.0,0.0,0.0
27,5,3,1,0.07142857142857142,0.9990125,6.9741226e-09,4.3520174e-07,0.0009870718,1.0,0.0,0.0
27,6,3,1,0.07142857142857142,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
28,0,-1,7,0.5,0.67312306,0.18741144,0.068521164,0.07094429,1.0,0.0,0.0
28,1,0,4,0.2857142857142857,0.8823164,0.076588064,0.020358922,0.020736571,1.0,0.0,0.0
28,2,0,2,0.14285714285714285,0.46729565,0.33625296,0.09189369,0.10455771,1.0,0.0,0.0
28,3,1,3,0.21428571428571427,0.9961164,7.222489e-05,0.001455525,0.0023558205,1.0,0.0,0.0
28,4,2,1,0.07142857142857142,0.3825862,0.46116793,0.114430696,0.041815165,1.0,0.0,0.0
28,5,3,1,0.07142857142857142,0.9990502,6.7125256e-09,4.199442e-07,0.00094934873,1.0,0.0,0.0
28,6,3,1,0.07142857142857142,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
29,0,-1,8,0.5,0.6148299,0.21494426,0.07965091,0.09057499,1.0,0.0,0.0
29,1,0,4,0.25,0.88594896,0.07678648,0.018475028,0.01878953,1.0,0.0,0.0
29,2,0,2,0.125,0.47825944,0.34481236,0.0808983,0.09602998,1.0,0.0,0.0
29,3,1,3,0.1875,0.9965798,6.0800492e-05,0.0012370505,0.0021223892,1.0,0.0,0.0
29,4,2,1,0.0625,0.38352016,0.48359126,0.0968106,0.03607801,1.0,0.0,0.0
29,5,3,1,0.0625,0.9990853,6.4697505e-09,4.0575105e-07,0.0009143834,1.0,0.0,0.0
29,6,3,1,0.0625,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
29,7,0,1,0.0625,0.16970083,0.38756526,0.18834247,0.2543915,1.0,0.0,0.0
30,0,-1,8,0.5,0.61743516,0.2242288,0.07422781,0.084108286,1.0,0.0,0.0
30,1,0,4,0.25,0.88920176,0.076951526,0.016792176,0.017054662,1.0,0.0,0.0
30,2,0,2,0.125,0.48395616,0.35598886,0.06979846,0.09025648,1.0,0.0,0.0
30,3,1,3,0.1875,0.9969385,5.2266772e-05,0.0010732453,0.0019360433,1.0,0.0,0.0
