time,id,clone_id,parent_id,size,S,R1,R2,R3
0,0,0,-1,1,0.15389895,0.2499023,0.26698506,0.3292137
1,0,0,-1,1,0.15389895,0.2499023,0.26698506,0.3292137
2,0,0,-1,1,0.15484694,0.2497167,0.26665303,0.32878333
3,0,0,-1,1,0.15580325,0.24952796,0.26631835,0.32835042
4,0,0,-1,1,0.15676801,0.24933608,0.26598096,0.32791498
5,0,0,-1,1,0.15774132,0.24914095,0.2656408,0.32747692
6,0,0,-1,1,0.15872334,0.24894255,0.26529786,0.32703626
7,0,0,-1,1,0.15971412,0.24874088,0.2649521,0.3265929
8,0,0,-1,1,0.16071382,0.24853586,0.26460344,0.32614684
8,1,1,0,1,0.0980042,0.007716839,0.38978454,0.5044944
9,0,0,-1,1,0.16172256,0.24832746,0.26425192,0.32569805
9,1,1,0,1,0.10100038,0.008151604,0.38857758,0.5022704
10,0,0,-1,1,0.16274047,0.24811563,0.26389748,0.32524648
10,1,1,0,1,0.10409244,0.008612596,0.38731527,0.49997973
11,0,0,-1,1,0.16376762,0.24790028,0.26354,0.32479203
11,1,1,0,1,0.10728186,0.009101151,0.3859963,0.49762064
12,0,0,-1,1,0.16480422,0.24768148,0.26317957,0.3243348
12,1,1,0,1,0.11057015,0.009618654,0.38461974,0.49519143
12,2,1,0,1,0.21091281,0.24297321,0.36158267,0.18453126
13,0,0,-1,1,0.16585034,0.24745907,0.262816,0.3238746
13,1,1,0,1,0.113958485,0.010166446,0.38318473,0.4926904
13,2,1,0,1,0.2652577,0.25395486,0.3320156,0.14877185
14,0,0,-1,1,0.16690615,0.24723305,0.26244938,0.32341143
14,1,1,0,1,0.11744799,0.010745889,0.3816904,0.4901158
14,2,1,0,1,0.31129974,0.2591794,0.30242756,0.1270933
15,0,0,-1,1,0.16797175,0.24700338,0.2620796,0.3229453
15,1,1,0,1,0.121039584,0.011358315,0.380136,0.4874661
15,2,1,0,1,0.33185503,0.25809407,0.29094535,0.119105555
16,0,0,-1,1,0.16904728,0.24677,0.26170662,0.32247612
16,1,1,0,1,0.12463571,0.011989902,0.3783923,0.484982
16,2,1,0,1,0.35053083,0.25612408,0.2807421,0.11260302
17,0,0,-1,1,0.17013292,0.24653284,0.26133043,0.32200384
17,1,1,0,1,0.12822168,0.012668873,0.37622225,0.48288718
17,2,1,0,1,0.3712646,0.25396502,0.2674922,0.107278176
18,0,0,-1,1,0.17122878,0.24629188,0.26095095,0.3215284
18,1,1,0,1,0.13188653,0.0133832,0.3740023,0.4807279
18,2,1,0,1,0.3906747,0.2499376,0.25727558,0.10211213
19,0,0,-1,1,0.172335,0.24604703,0.26056814,0.3210498
19,1,1,0,1,0.13562873,0.014133771,0.37173355,0.47850403
19,2,1,0,1,0.40813246,0.24551363,0.2491876,0.09716626
20,0,0,-1,1,0.17345175,0.2457983,0.26018196,0.32056797
20,1,1,0,1,0.13943462,0.014919287,0.36940408,0.47624204
20,2,1,0,1,0.42483932,0.23962377,0.24510986,0.09042699
21,0,0,-1,1,0.1745792,0.24554561,0.2597924,0.32008284
21,1,1,0,1,0.14331344,0.015699705,0.36727586,0.473711
21,2,1,0,1,0.44056678,0.23457465,0.2389706,0.085888065
22,0,0,-1,1,0.17571744,0.24528885,0.2593993,0.31959435
22,1,1,0,1,0.14727993,0.01656095,0.36486354,0.4712956
22,2,1,0,1,0.462757,0.22661318,0.23271859,0.07791116
23,0,0,-1,1,0.17686668,0.24502806,0.25900272,0.3191025
23,1,1,0,1,0.15131558,0.01746025,0.36240816,0.46881604
23,2,1,0,1,0.48035476,0.22055238,0.22570412,0.073388696
23,3,1,2,1,0.029418109,0.1851122,0.78445077,0.0010189232
24,0,0,-1,1,0.1780271,0.24476314,0.25860262,0.3186072
24,1,1,0,1,0.15541792,0.01839755,0.35991162,0.46627286
24,2,1,0,1,0.50506413,0.2111406,0.21815836,0.06563693
24,3,1,2,1,0.031145517,0.18921079,0.77854145,0.0011021997
25,0,0,-1,1,0.17919877,0.24449396,0.2581988,0.31810838
25,1,1,0,1,0.15958431,0.01937253,0.35737607,0.46366706
25,2,1,0,1,0.52554584,0.20380962,0.2095986,0.06104592
25,3,1,2,1,0.033025984,0.19346426,0.7723145,0.001195315
26,0,0,-1,1,0.18038197,0.2442206,0.25779137,0.31760603
26,1,1,0,1,0.1635975,0.0203708,0.35534835,0.4606834
26,2,1,0,1,0.5527536,0.19294368,0.2005879,0.05371482
26,3,1,2,1,0.035076287,0.19787559,0.7657484,0.0012997309
27,0,0,-1,1,0.18157679,0.24394289,0.2573802,0.31710005
27,1,1,0,1,0.16773832,0.02151327,0.35267627,0.4580722
27,2,1,0,1,0.5758506,0.1843437,0.19058722,0.049218472
27,3,1,2,1,0.03731524,0.2024466,0.7588211,0.0014171615
28,0,0,-1,1,0.18278345,0.24366085,0.25696525,0.31659043
28,1,1,0,1,0.17175438,0.022687815,0.35038847,0.45516935
28,2,1,0,1,0.60511094,0.1722283,0.18011929,0.04254146
28,3,1,2,1,0.039763812,0.20717752,0.7515091,0.0015496186
28,4,1,1,1,0.19511488,0.0064571006,0.041233696,0.75719434
29,0,0,-1,1,0.18400212,0.24337438,0.25654647,0.31607705
29,1,1,0,1,0.17594643,0.023795225,0.34814167,0.4521166
29,2,1,0,1,0.6299952,0.1625997,0.169054,0.038351078
29,3,1,2,1,0.04244528,0.21206702,0.74378824,0.0016994707
29,4,1,1,1,0.21925692,0.0066024363,0.046927948,0.7272127
30,0,0,-1,1,0.18523295,0.24308339,0.2561238,0.3155599
30,1,1,0,1,0.18017752,0.02505812,0.34544572,0.44931868
30,2,1,0,1,0.66027147,0.14972958,0.15743902,0.03255992
30,3,1,2,1,0.045385715,0.21711136,0.7356335,0.001869509
30,4,1,1,1,0.24641362,0.006641576,0.053191293,0.69375354
30,5,1,1,1,0.27986595,0.02415019,0.5856125,0.11037143
31,0,0,-1,1,0.18647614,0.24278784,0.25569716,0.31503883
31,1,1,0,1,0.1842914,0.026215237,0.3435087,0.4459847
31,2,1,0,1,0.6855019,0.13960907,0.14599676,0.028892279
31,3,1,2,1,0.04861379,0.22230382,0.72701937,0.0020630227
31,4,1,1,1,0.27670887,0.0065463856,0.059880767,0.656864
31,5,1,1,1,0.34075916,0.034876775,0.50182605,0.12253794
31,6,1,1,1,0.05140928,0.031480607,0.4378928,0.47921738
32,0,0,-1,1,0.1877319,0.2424877,0.25526655,0.31451392
32,1,1,0,1,0.18862113,0.027551215,0.34068152,0.44314617
32,2,1,0,1,0.715219,0.12674735,0.13388339,0.024150252
32,3,1,2,1,0.052161116,0.22763456,0.7179205,0.0022838942
32,4,1,1,1,0.31020036,0.006295781,0.066746384,0.6167575
32,5,1,1,1,0.36342198,0.04879187,0.4285742,0.15921192
32,6,1,1,1,0.058628734,0.03831651,0.4463747,0.45668
33,0,0,-1,1,0.18900038,0.24218284,0.25483182,0.31398496
33,1,1,0,1,0.19287394,0.028911928,0.3380844,0.44012976
33,2,1,0,1,0.739012,0.116883524,0.12294485,0.021159584
33,3,1,2,1,0.056062292,0.23308925,0.70831186,0.0025366987
33,4,1,1,1,0.34688252,0.0058823926,0.07342019,0.57381487
33,5,1,1,1,0.40721962,0.037184596,0.4277493,0.12784646
33,6,1,1,1,0.067351155,0.04726476,0.4537855,0.43159854
33,7,1,1,1,0.33828628,0.11763564,0.35192958,0.19214849
34,0,0,-1,1,0.19028182,0.24187323,0.25439298,0.31345198
34,1,1,0,1,0.1971398,0.030143097,0.33595064,0.4367665
34,2,1,0,1,0.765833,0.10517433,0.11138005,0.017612621
34,3,1,2,1,0.06035463,0.2386488,0.6981697,0.0028268252
34,4,1,1,1,0.38669488,0.005318071,0.079426505,0.5285606
34,5,1,1,1,0.4247303,0.03984513,0.39868185,0.13674264
34,6,1,1,1,0.0707596,0.049732614,0.45199707,0.42751065
34,7,1,1,1,0.36949238,0.106211156,0.35144952,0.17284696
35,0,0,-1,1,0.19157642,0.24155882,0.25394994,0.31291488
35,1,1,0,1,0.20156038,0.031564288,0.3330678,0.43380755
35,2,1,0,1,0.7854963,0.09673907,0.10229099,0.015473543
35,3,1,2,1,0.06507827,0.24428809,0.68747306,0.003160609
35,4,1,1,1,0.43003568,0.0046196696,0.084073864,0.4812707
35,5,1,1,1,0.45801166,0.028749952,0.40723494,0.10600347
35,6,1,1,1,0.07438705,0.052358896,0.4500316,0.42322248
35,7,1,1,1,0.40463984,0.09535297,0.345759,0.1542481
35,8,1,3,1,0.00073163904,0.043105062,0.9561612,2.0093714e-06
36,0,0,-1,1,0.19288433,0.24123949,0.25350264,0.31237355
36,1,1,0,1,0.20580918,0.03299121,0.33060533,0.43059433
36,2,1,0,1,0.80749995,0.08710219,0.09235898,0.013038946
36,3,1,2,1,0.070275374,0.24997579,0.67620337,0.0035454722
36,4,1,1,1,0.4794446,0.0037306505,0.08584149,0.43098328
36,5,1,1,1,0.49888456,0.03189285,0.35325065,0.11597186
36,6,1,1,1,0.07824699,0.055151645,0.4478781,0.41872334
36,7,1,1,1,0.44446188,0.084996544,0.33423245,0.1363091
36,8,1,3,1,0.00074277166,0.043470573,0.9557846,2.0401194e-06
37,0,0,-1,1,0.1942058,0.2409152,0.253051,0.311828
37,1,1,0,1,0.21023019,0.03426241,0.32828778,0.42721963
37,2,1,0,1,0.8236261,0.07914456,0.08609498,0.011134306
37,3,1,2,1,0.07598973,0.2556733,0.6643469,0.003990065
37,4,1,1,1,0.5319771,0.0028831773,0.0852719,0.3798678
37,5,1,1,1,0.53091186,0.02290419,0.356114,0.09006996
37,6,1,1,1,0.08235332,0.058118455,0.44552565,0.4140026
37,7,1,1,1,0.47105008,0.08183813,0.31769928,0.12941247
37,8,1,3,1,0.0007542266,0.04384403,0.9553997,2.0717675e-06
37,9,2,1,1,0.18706253,0.0014426159,0.7332202,0.07827464
37,10,2,7,1,0.35127324,0.00511884,0.2832553,0.3603526
38,0,0,-1,1,0.19554104,0.2405859,0.25259498,0.31127807
38,1,1,0,1,0.21470311,0.035729002,0.32544178,0.42412606
38,2,1,0,1,0.84119976,0.072193414,0.07683926,0.009767574
38,3,1,2,1,0.082265265,0.2613337,0.6518966,0.004504418
38,4,1,1,1,0.57488847,0.0024878217,0.0882221,0.3344016
38,5,1,1,1,0.57905686,0.023096865,0.30909097,0.088755295
38,6,1,1,1,0.08672023,0.061266247,0.44296363,0.40904984
38,7,1,1,1,0.49712002,0.07913924,0.29981777,0.12392297
38,8,1,3,1,0.00076601846,0.044225723,0.9550062,2.104353e-06
38,9,2,1,1,0.21538551,0.0014347394,0.7010909,0.08208882
38,10,2,7,1,0.41960284,0.007154809,0.4342068,0.13903555
39,0,0,-1,1,0.19689025,0.24025145,0.2521345,0.31072375
39,1,1,0,1,0.21899815,0.03698332,0.32349288,0.4205256
39,2,1,0,1,0.8563661,0.06507271,0.07028368,0.008277505
39,3,1,2,1,0.089144826,0.2669024,0.6388528,0.005100027
39,4,1,1,1,0.6164781,0.0020148898,0.08791317,0.2935938
39,5,1,1,1,0.625612,0.022503842,0.2666337,0.085250475
39,6,1,1,1,0.09136235,0.06460101,0.4401818,0.40385488
39,7,1,1,1,0.5252682,0.075975284,0.28118196,0.11757453
39,8,1,3,1,0.00077816204,0.044616,0.95460373,2.1379199e-06
39,9,2,1,1,0.24895738,0.0013860039,0.6651963,0.084460296
39,10,2,7,1,0.4786644,0.0044231447,0.28568286,0.23122963
39,11,2,7,1,0.23046324,0.4267366,0.15681005,0.18599011
40,0,0,-1,1,0.19825368,0.23991184,0.25166947,0.31016493
40,1,1,0,1,0.22356345,0.038458977,0.32056227,0.4174153
40,2,1,0,1,0.8703964,0.059168197,0.06322871,0.007206606
40,3,1,2,1,0.09666812,0.27231634,0.6252255,0.0057899775
40,4,1,1,1,0.6569935,0.0015838911,0.08545344,0.25596917
40,5,1,1,1,0.6605333,0.021913424,0.23424536,0.0833079
40,6,1,1,1,0.09703201,0.067345984,0.43575925,0.39986277
40,7,1,1,1,0.55481064,0.07221738,0.26185986,0.11111218
40,8,1,3,1,0.0007906717,0.045015085,0.9541921,2.1725064e-06
40,9,2,1,1,0.28883302,0.0012781427,0.62561786,0.08427107
40,10,2,7,1,0.5353565,0.0040122243,0.30451572,0.15611552
40,11,2,7,1,0.2776635,0.3547828,0.13071066,0.23684305
41,0,0,-1,1,0.19963154,0.23956697,0.25119987,0.30960158
41,1,1,0,1,0.22808088,0.03988267,0.31674978,0.41528666
41,2,1,0,1,0.88260055,0.053472985,0.057765637,0.006160851
41,3,1,2,1,0.10486902,0.27750546,0.61103654,0.0065888907
41,4,1,1,1,0.69582325,0.0012143475,0.08117574,0.22178663
41,5,1,1,1,0.69661826,0.015188607,0.22580291,0.062390268
41,6,1,1,1,0.10903384,0.06891428,0.4208753,0.40117657
41,7,1,1,1,0.58624715,0.068129614,0.24189252,0.10373072
41,8,1,3,1,0.00080356497,0.045423392,0.9537708,2.2081604e-06
41,9,2,1,1,0.3391292,0.0010042473,0.5838641,0.076002516
41,10,2,7,1,0.59457475,0.002719201,0.23471162,0.16799448
